persona,rank,locality,persona_index,why
Student / Fresher,1,Wagholi,72.4,"rent 89/100, safety 80/100, col 50/100"
Student / Fresher,2,Wadgaon Sheri,71.0,"rent 97/100, col 50/100, safety 40/100"
Student / Fresher,3,Katraj,69.6,"rent 100/100, col 50/100, safety 40/100"
Junior IT Professional,1,Wadgaon Sheri,67.0,"rent 97/100, commute 49/100, aqi 78/100"
Junior IT Professional,2,Hinjewadi,66.6,"commute 100/100, rent 77/100, col 50/100"
Junior IT Professional,3,Wagholi,66.1,"rent 89/100, commute 65/100, safety 80/100"
Senior IT Professional,1,Aundh,73.7,"lifestyle 98/100, safety 60/100, aqi 100/100"
Senior IT Professional,2,Hinjewadi,73.6,"lifestyle 100/100, commute 100/100, safety 60/100"
Senior IT Professional,3,Koregaon Park,72.5,"lifestyle 88/100, safety 100/100, aqi 88/100"
Family with Kids,1,Koregaon Park,77.7,"lifestyle 88/100, safety 100/100, aqi 88/100"
Family with Kids,2,Aundh,75.9,"lifestyle 98/100, aqi 100/100, safety 60/100"
Family with Kids,3,Hinjewadi,67.7,"lifestyle 100/100, safety 60/100, commute 100/100"
Remote Worker,1,Aundh,77.0,"aqi 100/100, lifestyle 98/100, rent 54/100"
Remote Worker,2,Baner,70.3,"aqi 100/100, lifestyle 93/100, rent 50/100"
Remote Worker,3,Koregaon Park,70.0,"aqi 88/100, lifestyle 88/100, safety 100/100"
