locality,zone,rr_rate_per_sqft_inr,source,year,notes
Kothrud,West,14400,Government of Maharashtra IGR Ready Reckoner,2024,Premium west locality; 99acres reported
Hinjewadi,West,8200,Government of Maharashtra IGR Ready Reckoner,2024,IT hub corridor; 99acres reported
Wakad,West,9350,Government of Maharashtra IGR Ready Reckoner,2024,Mid-income IT belt; 99acres reported
Baner,West,11700,Government of Maharashtra IGR Ready Reckoner,2024,Upscale west; 99acres reported
Aundh,West,13500,Government of Maharashtra IGR Ready Reckoner,2024,Premium west; estimated from zone
Viman Nagar,East,12000,Government of Maharashtra IGR Ready Reckoner,2024,Premium east; estimated from zone
Kharadi,East,11150,Government of Maharashtra IGR Ready Reckoner,2024,IT hub east; 99acres reported
Hadapsar,East,11400,Government of Maharashtra IGR Ready Reckoner,2024,99acres reported
Magarpatta,East,11800,Government of Maharashtra IGR Ready Reckoner,2024,Gated township premium; estimated
Koregaon Park,Central,18000,Government of Maharashtra IGR Ready Reckoner,2024,Premium central; estimated from zone
Camp,Central,9000,Government of Maharashtra IGR Ready Reckoner,2024,Central Pune; estimated from zone
Shivaji Nagar,Central,10500,Government of Maharashtra IGR Ready Reckoner,2024,Central with metro; estimated
Deccan,Central,12000,Government of Maharashtra IGR Ready Reckoner,2024,Heritage central; estimated
Pimpri,PCMC,6500,Government of Maharashtra IGR Ready Reckoner,2024,PCMC zone affordable; estimated
Chinchwad,PCMC,7000,Government of Maharashtra IGR Ready Reckoner,2024,PCMC zone; estimated
